VesselIdx,VesselName,VesselMMSI,VesselCall,VesselType,VesselTon,VesselBuilt,VesselLoc,VesselPermit,VesselMaterial,VesselEng,VesselPower,VesselSpd,VesselDim,VesselRemarks,tbYard_YardIdx,tbUser_UserIdx,VesselRegDate
1,대동2호,,,어선,10,1997-09-15,전남,선적증서,FRP,디젤,430,0,,,1,1,2018-10-10 00:00:00
2,대동3호,,,어선,15,2001-08-15,전남,선적증서,FRP,디젤,470,0,,,1,1,2018-10-10 00:00:00
3,신호2호,,,어선,7.31,2001-01-15,전남,연안자망,복합,FRP,대우,360,0,,,1,1,2018-10-10 00:00:00
4,건양호,,,어선,9.77,2017-04-01,전남,,FRP,현대마린,500,0,,,1,1,2018-10-10 00:00:00
5,태양호,,,어선,3.01,2010-07-15,충남,연안자망,복합,FRP,스즈끼,300,0,,,1,1,2018-10-10 00:00:00
6,광진1호,,,어선,2.99,2013-06-15,경남,연안통발, 자망,FRP,현대마린,330,0,9.50/ 3.15/ 0.7,,1,1,2018-10-10 00:00:00
7,대선2호,,,어선,1.11,2005-03-15,전남,선적증서,FRP,스즈끼,115,30,5.67/1.97/0.54,,1,1,2018-10-10 00:00:00
8,장양호,,,어선,1.99,2010-11-15,부산,연안자망,FRP,야마하,350,38,,,1,1,2018-10-10 00:00:00
9,칠산2호,,,어선,2.84,2012-05-15,전남,연안자망,FRP,야마하,300,20,8.37/2.46/0.87,,1,1,2018-10-10 00:00:00
10,칠산1호,,,어선,1.49,2017-11-15,전남,,알루미늄,야마하,200,30,7.36/2.06/0.77,,1,1,2018-10-10 00:00:00
11,대풍호,,,어선,4.61,2006-01-15,전남,양식장 관리선,FRP,혼다,225,0,길이 10.48m, 넓이 4,,1,1,2018-10-10 00:00:00
12,신철2호,,,어선,2.3,2015-03-15,경남,연안복합,FRP,야마하,250,35,10 2.3 0.6,,1,1,2018-10-10 00:00:00
22,동해1,,,어선,0,2018-11-21,,undefined,FRP,,0,0,,,3,2,2018-11-21 12:54:39
